pkg,name,date
auk,0.4.3,2020-11-23
UCSCXenaTools,1.3.6,2020-11-23
microdemic,0.6.0,2020-11-20
mcbette,1.12,2020-11-16
bomrang,0.7.2,2020-11-15
nlrx,0.4.2,2020-11-14
tidyhydat,0.5.2,2020-11-14
UCSCXenaTools,1.3.5,2020-11-14
jqr,1.2.0,2020-11-13
RefManageR,1.3.0,2020-11-13
gert,1.0.2,2020-11-12
BaseSet,0.0.14,2020-11-11
EML,2.0.4,2020-11-10
magick,2.5.2,2020-11-10
rentrez,1.2.3,2020-11-10
ropenaq,0.2.11,2020-11-10
ijtiff,2.2.4,2020-11-09
opentripplanner,0.3.1,2020-11-09
babette,2.2,2020-11-06
magick,2.5.1,2020-11-05
rgnparser,0.1.0,2020-11-05
arkdb,0.0.8,2020-11-04
datapack,1.4.0,2020-11-04
gitignore,0.1.4,2020-11-04
osmdata,0.1.4,2020-11-04
dataspice,1.0.0,2020-11-04
rerddap,0.7.0,2020-11-03
ijtiff,2.2.3,2020-11-01
mauricer,2.3,2020-10-31
suppdata,1.1-5,2020-10-31
beastier,2.2.1,2020-10-30
taxize,0.9.99,2020-10-30
rredlist,0.7.0,2020-10-29
plotdap,0.0.9,2020-10-28
stplanr,0.8.0,2020-10-28
drake,7.12.7,2020-10-27
getCRUCLdata,0.3.2,2020-10-26
